|table_name       |column_name              |data_type                  |is_nullable|column_default                                 |
|-----------------|-------------------------|---------------------------|-----------|-----------------------------------------------|
|Employee         |Id                       |integer                    |NO         |nextval('"Employee_Id_seq"'::regclass)         |
|Employee         |FirstName                |text                       |NO         |                                               |
|Employee         |LastName                 |text                       |NO         |                                               |
|Employee         |FatherName               |text                       |YES        |                                               |
|Employee         |Rank                     |integer                    |NO         |                                               |
|Employee         |UnitId                   |integer                    |NO         |                                               |
|Employee         |Position                 |text                       |YES        |                                               |
|Form             |FormId                   |integer                    |NO         |                                               |
|Form             |Name                     |text                       |YES        |                                               |
|Form             |Date_D                   |date                       |YES        |                                               |
|HardwareEquipment|MainPropertyFactoryNumber|integer                    |NO         |                                               |
|HardwareEquipment|SubPropertyFactoryNumber |integer                    |NO         |                                               |
|HardwareEquipment|Quantity                 |numeric                    |YES        |0                                              |
|HardwareEquipment|Description              |text                       |YES        |                                               |
|Invoice          |InvoiceID                |integer                    |NO         |                                               |
|Invoice          |Name                     |text                       |YES        |                                               |
|Invoice          |Date_From                |timestamp without time zone|YES        |                                               |
|Order            |OrderId                  |integer                    |NO         |                                               |
|Order            |Name                     |text                       |YES        |                                               |
|Order            |Date_D                   |date                       |YES        |                                               |
|OrderBook        |OrderBookID              |integer                    |NO         |                                               |
|OrderBook        |Name                     |text                       |YES        |                                               |
|OrderBook        |Date_D                   |date                       |YES        |                                               |
|Property         |FactoryNumber            |integer                    |NO         |                                               |
|Property         |InventoryNumber          |integer                    |YES        |                                               |
|Property         |Name                     |text                       |YES        |                                               |
|Property         |InvoiceId                |integer                    |YES        |                                               |
|Property         |FIO_R                    |integer                    |YES        |                                               |
|Property         |BookId                   |integer                    |YES        |                                               |
|Property         |FormId                   |integer                    |YES        |                                               |
|Property         |OrderId                  |integer                    |YES        |                                               |
|Property         |PropertyTypeId           |integer                    |YES        |                                               |
|Property         |CompletnessId            |integer                    |YES        |                                               |
|Property         |Additionalnfo            |text                       |YES        |                                               |
|Property         |DLM                      |timestamp without time zone|NO         |CURRENT_TIMESTAMP                              |
|Property         |Fio_I                    |integer                    |YES        |                                               |
|Property         |OrderBookId              |integer                    |YES        |                                               |
|Property         |BookPage                 |integer                    |YES        |                                               |
|Property         |OrderBookPage            |integer                    |YES        |                                               |
|Property         |Status                   |integer                    |YES        |                                               |
|Property         |Price                    |numeric                    |YES        |                                               |
|Property         |Quantity                 |numeric                    |YES        |                                               |
|PropertyStatus   |Id                       |integer                    |NO         |nextval('"PropertyStatus_Id_seq"'::regclass)   |
|PropertyStatus   |Name                     |text                       |YES        |                                               |
|PropertyToStatus |Id                       |integer                    |NO         |nextval('"PropertyToStatus_Id_seq"'::regclass) |
|PropertyToStatus |PropertyID               |integer                    |NO         |                                               |
|PropertyToStatus |PropertyStatusId         |smallint                   |NO         |                                               |
|PropertyToStatus |Dlm                      |timestamp without time zone|YES        |                                               |
|PropertyToStatus |Reason                   |text                       |YES        |                                               |
|PropertyToStatus |Status                   |boolean                    |YES        |                                               |
|PropertyType     |Id                       |integer                    |NO         |nextval('"PropertyType_Id_seq"'::regclass)     |
|PropertyType     |Name                     |text                       |YES        |                                               |
|Rank             |ID                       |integer                    |NO         |nextval('"Rank_ID_seq"'::regclass)             |
|Rank             |Description              |text                       |NO         |                                               |
|SoftwareEquipment|Id                       |integer                    |NO         |nextval('"SoftwareEquipment_Id_seq"'::regclass)|
|SoftwareEquipment|MainPropertyFactoryNumber|integer                    |NO         |                                               |
|SoftwareEquipment|Description              |text                       |YES        |                                               |
|SoftwareEquipment|Quantity                 |numeric                    |YES        |                                               |
|Unit             |Id                       |integer                    |NO         |nextval('"Unit_Id_seq"'::regclass)             |
|Unit             |Name                     |text                       |NO         |                                               |
